Date,Price,Open,High,Low,Change
6/15/2016,67.079,67.291,67.353,67,-0.0032
6/16/2016,67.315,67.079,67.454,67.077,0.0035
6/17/2016,67.074,67.318,67.318,67.042,-0.0036
6/18/2016,67.074,67.318,67.318,67.042,-0.0036
6/19/2016,67.074,67.318,67.318,67.042,-0.0036
6/20/2016,67.551,67.073,67.69,67.073,0.0071
6/21/2016,67.624,67.497,67.755,67.335,0.0011
6/22/2016,67.449,67.64,67.678,67.342,-0.0026
6/23/2016,67.279,67.442,67.48,67.2,-0.0025
6/24/2016,67.885,67.278,68.223,67.247,0.009
6/25/2016,67.885,67.278,68.223,67.247,0.009
6/26/2016,67.885,67.278,68.223,67.247,0.009
6/27/2016,67.914,67.888,68.09,67.78,0.0004
6/28/2016,67.715,67.898,67.98,67.65,-0.0029
6/29/2016,67.422,67.715,67.85,67.375,-0.0043
6/30/2016,67.504,67.394,67.72,67.394,0.0012
7/1/2016,67.19,67.509,67.514,67.15,-0.0047
7/2/2016,67.19,67.509,67.514,67.15,-0.0047
7/3/2016,67.19,67.509,67.514,67.15,-0.0047
7/4/2016,67.265,67.19,67.3,67.118,0.0011
7/5/2016,67.434,67.255,67.525,67.244,0.0025
7/6/2016,67.411,67.438,67.555,67.36,-0.0003
7/7/2016,67.495,67.404,67.539,67.304,0.0012
7/8/2016,67.139,67.495,67.517,67.07,-0.0053
7/9/2016,67.139,67.495,67.517,67.07,-0.0053
7/10/2016,67.139,67.495,67.517,67.07,-0.0053
7/11/2016,67.138,67.139,67.308,67.01,0
7/12/2016,66.975,67.172,67.22,66.975,-0.0024
7/13/2016,67.016,67.06,67.225,66.935,0.0006
7/14/2016,66.843,67.006,67.042,66.802,-0.0026
7/15/2016,67.141,66.843,67.175,66.843,0.0045
7/16/2016,67.141,66.843,67.175,66.843,0.0045
7/17/2016,67.141,66.843,67.175,66.843,0.0045
7/18/2016,67.137,67.096,67.22,67.012,-0.0001
7/19/2016,67.204,67.137,67.24,67.063,0.001
7/20/2016,67.163,67.188,67.255,67.095,-0.0006
7/21/2016,67.153,67.174,67.273,67.081,-0.0001
7/22/2016,67.154,67.163,67.217,67.042,0
7/23/2016,67.154,67.163,67.217,67.042,0
7/24/2016,67.154,67.163,67.217,67.042,0
7/25/2016,67.412,67.15,67.48,67.09,0.0038
7/26/2016,67.321,67.415,67.438,67.255,-0.0013
7/27/2016,67.072,67.294,67.379,67.042,-0.0037
7/28/2016,67.014,67.058,67.115,66.94,-0.0009
7/29/2016,66.655,67.032,67.113,66.625,-0.0054
7/30/2016,66.655,67.032,67.113,66.625,-0.0054
7/31/2016,66.655,67.032,67.113,66.625,-0.0054
8/1/2016,66.764,66.72,66.81,66.64,0.0016
8/2/2016,66.682,66.767,66.805,66.57,-0.0012
8/3/2016,66.767,66.687,67.015,66.682,0.0013
8/4/2016,66.84,66.782,67.01,66.74,0.0011
8/5/2016,66.842,66.843,66.901,66.71,0
8/6/2016,66.842,66.843,66.901,66.71,0
8/7/2016,66.842,66.843,66.901,66.71,0
8/8/2016,66.81,66.84,66.865,66.673,-0.0005
8/9/2016,66.774,66.816,66.985,66.738,-0.0005
8/10/2016,66.765,66.772,66.808,66.6,-0.0001
8/11/2016,66.75,66.765,66.92,66.738,-0.0002
8/12/2016,66.908,66.75,66.926,66.738,0.0024
8/13/2016,66.908,66.75,66.926,66.738,0.0024
8/14/2016,66.908,66.75,66.926,66.738,0.0024
8/15/2016,66.853,66.91,66.96,66.792,-0.0008
8/16/2016,66.87,66.865,66.938,66.688,0.0003
8/17/2016,66.893,66.857,66.986,66.84,0.0003
8/18/2016,66.83,66.904,66.916,66.717,-0.0009
8/19/2016,67.137,66.822,67.205,66.822,0.0046
8/20/2016,67.137,66.822,67.205,66.822,0.0046
8/21/2016,67.137,66.822,67.205,66.822,0.0046
8/22/2016,67.202,67.138,67.37,67.095,0.001
8/23/2016,67.122,67.194,67.211,67.03,-0.0012
8/24/2016,67.167,67.153,67.295,67.087,0.0007
8/25/2016,67.016,67.167,67.167,67,-0.0022
8/26/2016,67.136,67.014,67.161,66.831,0.0018
8/27/2016,67.136,67.014,67.161,66.831,0.0018
8/28/2016,67.136,67.014,67.161,66.831,0.0018
8/29/2016,67.113,67.137,67.215,67.06,-0.0003
8/30/2016,67.144,67.096,67.155,66.934,0.0005
8/31/2016,66.973,67.148,67.155,66.92,-0.0025
9/1/2016,66.801,66.962,67.095,66.758,-0.0026
9/2/2016,66.795,66.833,66.897,66.617,-0.0001
9/3/2016,66.795,66.833,66.897,66.617,-0.0001
9/4/2016,66.795,66.833,66.897,66.617,-0.0001
9/5/2016,66.47,66.65,66.665,66.435,-0.0049
9/6/2016,66.28,66.55,66.58,66.27,-0.0029
9/7/2016,66.478,66.37,66.506,66.31,0.003
9/8/2016,66.631,66.478,66.676,66.365,0.0023
9/9/2016,66.895,66.653,66.895,66.46,0.004
9/10/2016,66.895,66.653,66.895,66.46,0.004
9/11/2016,66.895,66.653,66.895,66.46,0.004
9/12/2016,66.738,66.85,66.995,66.727,-0.0023
9/13/2016,67.14,66.738,67.148,66.732,0.006
9/14/2016,66.798,67.131,67.132,66.786,-0.0051
9/15/2016,66.86,66.798,67.085,66.767,0.0009
9/16/2016,67.075,66.863,67.12,66.775,0.0032
9/17/2016,67.075,66.863,67.12,66.775,0.0032
9/18/2016,67.075,66.863,67.12,66.775,0.0032
9/19/2016,66.98,67.076,67.08,66.87,-0.0014
9/20/2016,66.985,66.98,67.07,66.91,0.0001
9/21/2016,66.744,66.988,67.145,66.738,-0.0036
9/22/2016,66.633,66.762,66.903,66.53,-0.0017
9/23/2016,66.707,66.635,66.75,66.593,0.0011
9/24/2016,66.707,66.635,66.75,66.593,0.0011
9/25/2016,66.707,66.635,66.75,66.593,0.0011
9/26/2016,66.613,66.707,66.805,66.547,-0.0014
9/27/2016,66.425,66.629,66.712,66.425,-0.0028
9/28/2016,66.349,66.47,66.548,66.346,-0.0011
9/29/2016,66.812,66.346,66.955,66.327,0.007
9/30/2016,66.556,66.802,66.873,66.51,-0.0038
10/1/2016,66.556,66.802,66.873,66.51,-0.0038
10/2/2016,66.556,66.802,66.873,66.51,-0.0038
10/3/2016,66.546,66.555,66.61,66.43,-0.0002
10/4/2016,66.609,66.494,66.63,66.373,0.0009
10/5/2016,66.572,66.613,66.675,66.505,-0.0006
10/6/2016,66.697,66.574,66.796,66.554,0.0019
10/7/2016,66.602,66.696,66.89,66.535,-0.0014
10/8/2016,66.602,66.696,66.89,66.535,-0.0014
10/9/2016,66.602,66.696,66.89,66.535,-0.0014
10/10/2016,66.492,66.602,66.62,66.473,-0.0017
10/11/2016,66.834,66.508,66.862,66.494,0.0051
10/12/2016,66.812,66.819,66.885,66.73,-0.0003
10/13/2016,66.794,66.827,66.99,66.73,-0.0003
10/14/2016,66.717,66.794,66.91,66.64,-0.0012
10/15/2016,66.717,66.794,66.91,66.64,-0.0012
10/16/2016,66.717,66.794,66.91,66.64,-0.0012
10/17/2016,66.789,66.718,66.9,66.715,0.0011
10/18/2016,66.733,66.789,66.802,66.65,-0.0008
10/19/2016,66.645,66.74,66.775,66.61,-0.0013
10/20/2016,66.83,66.638,66.87,66.61,0.0028
10/21/2016,66.926,66.852,67.005,66.76,0.0014
10/22/2016,66.926,66.852,67.005,66.76,0.0014
10/23/2016,66.926,66.852,67.005,66.76,0.0014
10/24/2016,66.845,66.921,66.935,66.766,-0.0012
10/25/2016,66.806,66.851,66.94,66.74,-0.0006
10/26/2016,66.863,66.812,66.9,66.758,0.0009
10/27/2016,66.881,66.862,66.963,66.79,0.0003
10/28/2016,66.778,66.894,66.934,66.691,-0.0015
10/29/2016,66.778,66.894,66.934,66.691,-0.0015
